id_case,id_progen_tree,id_progen_tracing,lineage_chain,lineage_case,utm_easting,utm_northing,species,date_symptoms
570,505,0,2,0,591904.2888281205,9442254.233083148,Domestic dog,2017-02-24
505,365,0,2,0,590254.7620183832,9443398.894431792,Domestic dog,2017-02-23
506,500,0,1,0,585795.1615221053,9440997.931310643,Domestic dog,2017-02-24
493,500,0,1,0,585906.3541147921,9447641.973575544,Domestic dog,2017-01-30
519,365,0,2,0,582152.4163216982,9434787.568069972,Domestic dog,2017-05-10
511,509,509,1,0,588878.156059657,9438859.509381633,Livestock: Cow,2017-02-05
513,509,509,1,0,588940.1340260522,9440336.382338878,Livestock: Cow,2017-02-12
516,519,0,2,0,585944.6707466433,9437167.967444424,Domestic dog,2017-05-14
518,519,0,2,2,583347.107158658,9434062.036776397,Domestic dog,2017-05-12
509,514,0,1,0,589316.4293782243,9440801.262613565,Domestic dog,2016-12-15
520,519,0,2,0,580725.910533524,9432727.84918613,Domestic dog,2017-05-11
515,506,0,1,1,586001.3392816185,9440774.812251141,Domestic dog,2017-05-14
514,528,0,1,0,589495.5136257195,9439278.582518619,Domestic dog,2016-11-09
521,520,0,2,0,578469.341430558,9432899.383277655,Domestic dog,2017-05-16
517,347,0,1,1,586065.1373094813,9434380.12212326,Livestock: Goat,2017-02-05
525,519,0,2,0,578958.9589004997,9437930.009502415,Domestic dog,2017-05-11
529,347,0,1,0,591026.506707108,9430750.892841581,Domestic dog,2016-12-25
528,571,0,1,1,589466.9569027228,9442187.91876977,Domestic dog,2016-11-09
527,354,0,2,0,587442.2480652842,9420829.81150138,Domestic dog,2016-11-29
526,529,0,1,0,588655.4018697849,9426941.052052079,Domestic dog,2017-04-13
571,NA,0,1,1,582420.7025894499,9422068.06449202,Domestic dog,2016-10-07
550,551,0,1,0,579733.3413678884,9442108.757541576,Domestic dog,2017-11-22
552,525,0,2,0,578363.0428904226,9438880.23770649,Domestic dog,2017-05-18
551,562,0,1,0,580720.7792706689,9439472.508792736,Domestic dog,2017-10-20
554,516,0,2,0,585493.9345954821,9434792.265335768,Domestic dog,2017-07-11
555,519,0,2,0,585845.4080695497,9433921.715183312,Domestic dog,2017-05-18
553,573,0,1,0,580814.1548132219,9435577.266454313,Domestic dog,2018-06-10
602,583,0,2,0,590337.6022859167,9427569.113157589,Domestic dog,2017-06-21
603,604,0,1,0,585628.3355770961,9439169.931227934,Domestic dog,2017-10-28
556,602,0,2,0,590648.6463855067,9431388.194248315,Domestic dog,2017-08-23
604,551,0,1,0,585600.2480548772,9438791.348399527,Domestic dog,2017-10-27
605,573,0,1,0,584451.4619069425,9443253.006573923,Domestic dog,2018-10-27
606,573,0,1,0,575268.1698268858,9453936.346035436,Domestic dog,2018-06-13
562,563,0,1,0,588184.4314629207,9451113.85821791,Domestic dog,2017-10-17
563,568,0,1,0,592494.2128962597,9451798.005620077,Domestic dog,2017-10-05
564,563,0,1,0,592334.22801767,9451547.084006585,Domestic dog,2017-12-03
565,563,0,1,0,591175.9942209721,9451742.640828073,Domestic dog,2017-12-03
567,507,0,1,0,595204.8721687705,9452313.280053543,Domestic dog,2017-06-28
568,607,0,1,0,594543.4637434802,9453452.775707632,Domestic dog,2017-08-19
601,569,0,1,0,595184.5806188366,9453910.520792544,Domestic dog,2017-08-22
607,567,0,1,0,594816.7686051031,9453614.744348092,Domestic dog,2017-06-28
572,508,0,1,0,596308.1839442205,9448524.104104966,Domestic dog,2017-06-27
573,564,0,1,0,592470.3274792911,9446723.538826695,Domestic dog,2018-05-15
579,595,0,2,0,586863.3817665096,9412708.253278637,Domestic dog,2017-07-30
578,602,0,2,0,592236.9916043549,9426441.985192917,Domestic dog,2017-06-29
576,563,0,1,0,589773.6939215147,9443325.519349009,Domestic dog,2017-10-22
577,556,0,2,0,584993.9494294578,9429586.044041885,Domestic dog,2017-10-22
582,581,0,2,0,588644.2037949645,9418523.893391987,Domestic dog,2017-09-28
584,585,0,2,0,587881.6049168911,9419039.44092087,Domestic dog,2018-01-30
583,590,0,2,0,588127.8036644886,9418767.150522642,Domestic dog,2017-05-23
581,579,0,2,0,589224.9041030714,9414671.792838257,Domestic dog,2017-08-20
585,586,0,2,0,588106.4681529152,9421145.084782057,Domestic dog,2018-01-04
586,596,0,2,0,587435.9300573614,9421023.033657916,Domestic dog,2017-08-27
587,520,0,2,0,574335.4672669581,9405925.889545305,Domestic dog,2017-05-21
597,595,0,2,0,585434.8982741598,9421377.66640094,Domestic dog,2017-07-25
595,583,0,2,0,584937.4644345064,9419283.403070917,Domestic dog,2017-06-20
596,595,0,2,0,586679.6704310649,9419083.25760819,Domestic dog,2017-07-29
593,579,0,2,0,585465.7340004501,9408578.317969462,Domestic dog,2017-08-19
594,592,0,2,0,581932.3411375784,9409235.772604967,Domestic dog,2018-07-19
591,593,0,2,0,585698.9333934048,9407099.387658684,Domestic dog,2017-11-19
592,591,0,2,0,586887.4361937088,9405918.780495293,Domestic dog,2018-05-22
590,587,0,2,0,579395.7432396099,9408498.616449937,Domestic dog,2017-05-21
589,590,0,2,0,583676.4977920912,9403849.103774609,Domestic dog,2017-06-06
598,589,589,2,0,583406.6438217061,9403548.812202377,Livestock: Cow,2017-07-06
600,607,0,1,0,596319.2089005708,9455230.490308674,Domestic dog,2017-08-19
41,115,0,3,0,580231.4281932674,9439271.387573585,Domestic dog,2010-03-15
